ts,open,high,low,close,volume
1605571200000,16713.08,16830.0,16683.63,16806.09,2861.4
1605574800000,16806.09,16806.93,16666.4,16690.21,2463.7
1605578400000,16690.21,16737.88,16625.24,16678.02,2217.6
1605582000000,16678.03,16705.85,16570.0,16573.58,2247.5
1605585600000,16573.57,16676.47,16538.0,16668.95,2292.8
1605589200000,16668.95,16700.0,16600.99,16619.81,2001.1
1605592800000,16620.6,16675.56,16578.45,16631.72,1963.0
1605596400000,16631.73,16774.99,16623.68,16750.0,3179.2
1605600000000,16750.0,16785.99,16683.75,16704.83,2870.5
1605603600000,16704.82,16755.0,16633.37,16659.11,2934.4
1605607200000,16659.11,16772.3,16648.76,16763.47,2897.2
1605610800000,16763.46,17000.0,16737.17,16995.06,8654.1
1605614400000,16994.11,17093.98,16935.09,17083.01,8132.9
1605618000000,17083.01,17095.98,16920.0,16947.38,5323.2
1605621600000,16947.39,17185.52,16930.48,17153.93,5900.1
1605625200000,17153.93,17373.0,17116.0,17322.19,8210.2
1605628800000,17321.55,17728.33,17231.53,17639.35,11543.3
1605632400000,17639.36,17858.82,17306.0,17808.66,12954.6
1605636000000,17808.67,17825.0,17583.26,17638.37,7914.6
1605639600000,17638.14,17747.93,17450.0,17685.22,6729.1
1605643200000,17685.23,17723.28,17617.42,17677.64,3012.8
1605646800000,17677.63,17704.94,17500.0,17624.15,3382.9
1605650400000,17624.15,17626.55,17456.52,17596.78,2493.6
1605654000000,17596.78,17710.0,17596.78,17659.38,3041.7
1605657600000,17659.38,17820.0,17601.0,17693.64,5133.7
1605661200000,17693.64,17739.43,17610.0,17739.42,2920.6
1605664800000,17739.43,17748.53,17640.0,17680.64,2887.1
1605668400000,17680.64,18067.21,17623.33,18030.71,6293.1
1605672000000,18030.7,18476.93,17950.0,18369.33,12402.4
1605675600000,18368.87,18369.33,17214.45,17623.39,16731.0
1605679200000,17627.7,17860.0,17500.0,17780.19,6942.9
1605682800000,17780.19,18093.7,17651.0,18063.7,5974.5
1605686400000,18063.69,18260.0,18021.66,18211.02,7437.0
1605690000000,18211.01,18229.07,17853.01,18110.0,8154.8
1605693600000,18110.01,18257.14,17971.42,18250.0,4871.6
1605697200000,18250.0,18253.0,18005.44,18249.99,4532.3
1605700800000,18249.99,18250.0,17931.0,18024.03,4849.3
1605704400000,18024.04,18105.78,17792.04,17882.89,6256.2
1605708000000,17882.9,17959.15,17666.0,17683.11,5847.1
1605711600000,17683.56,17915.14,17271.02,17873.88,14884.4
1605715200000,17873.89,18000.0,17640.0,17793.71,7421.0
1605718800000,17793.71,17923.41,17700.0,17890.45,4384.1
1605722400000,17890.46,17963.33,17739.99,17775.92,3726.8
1605726000000,17775.91,17838.94,17553.8,17659.9,4560.6
1605729600000,17659.9,17741.0,17490.0,17642.93,4705.0
1605733200000,17642.92,17781.39,17586.62,17762.64,2939.8
1605736800000,17762.64,17855.0,17700.0,17806.03,2192.2
1605740400000,17806.04,17853.13,17673.09,17776.12,2972.0
1605744000000,17777.75,17817.87,17573.31,17763.05,3840.3
1605747600000,17763.04,17862.8,17679.36,17855.5,2319.7
1605751200000,17855.5,18058.58,17854.26,17928.65,4961.0
1605754800000,17929.07,17999.84,17842.11,17915.46,2904.2
1605758400000,17915.81,17921.97,17741.33,17844.73,2524.8
1605762000000,17844.73,17909.05,17712.36,17894.88,2575.1
1605765600000,17894.89,17907.0,17705.0,17750.31,2796.5
1605769200000,17750.62,17765.99,17590.7,17649.94,3465.7
1605772800000,17650.03,17723.81,17388.77,17533.42,6399.3
1605776400000,17533.43,17635.28,17335.65,17426.52,5045.5
1605780000000,17426.52,17655.0,17361.89,17611.77,4832.1
1605783600000,17611.77,17778.04,17580.03,17765.33,5188.7
1605787200000,17765.32,17812.0,17653.24,17710.5,3955.9
1605790800000,17710.78,18006.83,17703.37,18000.56,6319.2
1605794400000,18000.56,18147.0,17842.79,18116.85,5826.3
1605798000000,18116.85,18179.8,18010.0,18045.0,5240.2
1605801600000,18045.01,18119.98,17909.4,18009.88,4906.0
1605805200000,18009.89,18040.02,17882.36,17969.4,2935.4
1605808800000,17969.29,18033.57,17905.0,17934.02,2565.6
1605812400000,17934.01,17972.22,17869.76,17955.8,2491.4
1605816000000,17955.79,18039.17,17904.14,18023.99,2386.8
1605819600000,18023.98,18100.0,17871.64,17928.48,3029.0
1605823200000,17928.55,17951.95,17854.57,17859.87,1769.1
1605826800000,17859.86,17892.52,17681.36,17802.82,4731.6
1605830400000,17802.81,17936.42,17753.8,17777.25,2447.2
1605834000000,17777.25,17967.49,17740.04,17960.39,2739.2
1605837600000,17960.39,18037.5,17916.74,17960.09,2908.7
1605841200000,17960.09,18023.03,17931.62,17955.06,2216.0
1605844800000,17955.06,18234.0,17941.66,18194.79,5089.8
1605848400000,18194.78,18225.0,18045.5,18129.99,2816.7
1605852000000,18129.99,18176.01,18060.0,18164.8,2523.1
1605855600000,18164.79,18404.68,18089.71,18212.0,6097.9
1605859200000,18210.0,18320.0,18143.0,18304.63,3962.0
1605862800000,18304.63,18360.68,18101.05,18173.01,3925.2
1605866400000,18173.0,18320.0,18130.0,18284.34,3134.4
1605870000000,18284.34,18345.53,18251.55,18263.5,2810.9
1605873600000,18263.69,18294.28,18152.0,18234.99,3434.0
1605877200000,18235.0,18289.43,18150.22,18242.84,3018.9
1605880800000,18243.01,18631.0,18241.01,18630.98,8757.7
1605884400000,18630.98,18739.9,18501.81,18668.56,7335.2
1605888000000,18668.56,18815.22,18625.0,18684.31,6032.9
1605891600000,18684.31,18707.0,18546.16,18684.92,4082.9
1605895200000,18684.92,18688.5,18401.0,18582.33,3962.2
1605898800000,18582.32,18662.65,18530.0,18627.38,2106.5
1605902400000,18627.57,18692.3,18562.16,18623.35,2264.5
1605906000000,18623.35,18647.42,18518.19,18580.26,2260.9
1605909600000,18580.25,18621.48,18473.94,18619.99,1746.6
