ts,open,high,low,close,volume
1498906800000,2505.56,2513.38,2495.12,2509.17,114.6
1498910400000,2509.17,2512.87,2484.99,2488.43,157.36
1498914000000,2488.43,2488.43,2454.4,2454.43,280.28
1498917600000,2454.43,2473.93,2450.83,2459.35,289.42
1498921200000,2459.35,2475.0,2450.0,2467.83,276.82
1498924800000,2467.83,2469.99,2450.0,2460.01,330.01
1498928400000,2460.01,2460.68,2428.03,2445.99,370.26
1498932000000,2445.99,2455.86,2414.0,2425.94,536.06
1498935600000,2425.94,2437.86,2406.44,2435.99,461.2
1498939200000,2435.99,2438.95,2404.61,2408.25,671.04
1498942800000,2408.25,2420.0,2401.0,2416.62,632.73
1498946400000,2416.62,2425.0,2400.0,2424.99,344.87
1498950000000,2424.99,2431.94,2414.8,2423.63,355.01
1498953600000,2423.63,2426.0,2389.99,2391.87,565.71
1498957200000,2391.87,2419.9,2385.0,2409.9,370.78
1498960800000,2409.9,2411.0,2385.52,2407.81,387.75
1498964400000,2407.81,2410.0,2397.63,2404.99,200.61
1498968000000,2404.99,2412.0,2398.36,2412.0,202.17
1498971600000,2412.0,2439.99,2411.99,2439.97,354.39
1498975200000,2439.97,2439.99,2415.19,2421.55,138.82
1498978800000,2421.55,2439.97,2418.33,2431.95,219.87
1498982400000,2431.95,2461.99,2428.98,2461.99,307.95
1498986000000,2461.99,2461.99,2450.0,2457.54,214.1
1498989600000,2457.54,2457.54,2427.87,2436.07,98.17
1498993200000,2436.07,2450.0,2427.76,2449.6,112.67
1498996800000,2449.6,2450.03,2431.65,2440.87,101.0
1499000400000,2440.87,2450.35,2429.9,2435.62,269.83
1499004000000,2435.62,2444.29,2425.43,2442.99,221.08
1499007600000,2442.99,2463.86,2442.99,2463.86,393.42
1499011200000,2463.86,2479.25,2462.17,2476.41,435.06
1499014800000,2476.41,2507.54,2474.23,2496.37,1216.26
1499018400000,2496.37,2526.72,2490.0,2490.08,796.35
1499022000000,2490.08,2506.11,2478.43,2492.61,649.85
1499025600000,2492.61,2504.41,2488.01,2504.09,297.05
1499029200000,2504.09,2525.0,2495.56,2525.0,604.59
1499032800000,2525.0,2525.0,2506.0,2517.01,454.22
1499036400000,2517.01,2545.0,2507.57,2516.66,463.27
1499040000000,2516.66,2519.9,2499.2,2500.97,536.4
1499043600000,2500.97,2501.0,2495.36,2500.0,448.9
1499047200000,2500.0,2501.0,2490.32,2491.4,371.84
1499050800000,2491.4,2497.67,2487.04,2490.83,330.36
1499054400000,2490.83,2499.92,2487.04,2498.92,484.4
1499058000000,2498.92,2499.99,2481.72,2497.61,660.14
1499061600000,2497.61,2499.99,2490.56,2499.98,185.14
1499065200000,2499.98,2502.0,2481.72,2481.72,297.38
1499068800000,2481.72,2492.19,2481.72,2483.72,166.93
1499072400000,2483.72,2493.77,2479.75,2489.09,181.49
1499076000000,2489.09,2496.13,2480.11,2482.09,186.78
1499079600000,2482.09,2502.3,2479.75,2502.3,375.44
1499083200000,2502.3,2524.0,2502.05,2519.38,488.0
1499086800000,2519.38,2570.0,2518.46,2560.0,754.54
1499090400000,2560.0,2584.78,2539.37,2550.0,811.11
1499094000000,2550.0,2576.45,2543.83,2569.98,543.07
1499097600000,2569.98,2573.97,2555.0,2563.0,447.44
1499101200000,2563.0,2564.92,2550.0,2552.37,372.57
1499104800000,2552.37,2553.62,2526.83,2528.8,617.11
1499108400000,2528.8,2548.02,2528.1,2547.43,332.44
1499112000000,2547.43,2559.12,2547.16,2556.02,416.77
1499115600000,2556.02,2559.99,2550.0,2559.98,386.0
1499119200000,2559.98,2573.84,2552.01,2554.4,387.05
1499122800000,2554.4,2557.15,2541.9,2542.41,262.95
1499126400000,2542.41,2564.0,2542.18,2560.93,247.03
1499130000000,2560.93,2570.0,2560.92,2566.27,276.22
1499133600000,2566.27,2610.77,2566.0,2607.1,830.62
1499137200000,2607.1,2625.0,2601.0,2616.28,1266.24
1499140800000,2616.28,2625.47,2605.17,2620.0,467.02
1499144400000,2620.0,2636.04,2611.3,2621.0,644.18
1499148000000,2621.0,2628.15,2615.0,2625.9,329.38
1499151600000,2625.9,2636.1,2621.02,2630.93,202.35
1499155200000,2630.93,2630.93,2594.49,2594.49,345.53
1499158800000,2594.49,2609.99,2593.86,2605.1,112.84
1499162400000,2605.1,2605.12,2581.12,2594.83,143.89
1499166000000,2594.83,2614.94,2594.83,2614.93,369.14
1499169600000,2614.93,2621.57,2609.03,2616.22,256.14
1499173200000,2616.22,2626.0,2610.07,2617.88,449.95
1499176800000,2617.88,2621.01,2610.0,2612.72,495.7
1499180400000,2612.72,2616.13,2577.88,2587.0,547.14
1499184000000,2587.0,2587.06,2560.0,2570.25,1010.42
1499187600000,2570.25,2595.89,2567.37,2594.0,489.14
1499191200000,2594.0,2595.72,2579.56,2586.71,305.56
1499194800000,2586.71,2588.24,2566.51,2566.51,318.24
1499198400000,2566.51,2586.99,2563.02,2579.09,216.02
1499202000000,2579.09,2590.05,2574.71,2582.36,442.23
1499205600000,2582.36,2596.0,2579.41,2595.98,328.94
1499209200000,2595.98,2611.45,2591.32,2602.0,580.95
1499212800000,2602.0,2602.82,2577.51,2578.97,833.53
1499216400000,2578.97,2593.51,2576.25,2584.27,394.05
1499220000000,2584.27,2584.32,2571.36,2580.85,397.47
1499223600000,2580.85,2587.64,2572.89,2576.12,301.5
1499227200000,2576.12,2579.0,2559.01,2572.85,282.93
1499230800000,2572.85,2572.85,2561.49,2571.76,260.02
1499234400000,2571.76,2576.77,2555.34,2563.24,285.46
1499238000000,2563.24,2567.07,2553.04,2558.37,304.65
1499241600000,2558.37,2571.65,2552.37,2570.7,283.0
1499245200000,2570.7,2574.57,2560.8,2568.4,192.25
1499248800000,2568.4,2575.03,2567.34,2570.01,155.21
1499252400000,2570.01,2578.93,2569.43,2572.06,214.09
1499256000000,2572.06,2573.0,2555.72,2555.72,475.8
1499259600000,2555.72,2575.72,2551.06,2575.72,873.67
1499263200000,2575.72,2576.99,2556.68,2567.01,638.39
1499266800000,2567.01,2575.75,2556.38,2573.91,416.4
1499270400000,2573.91,2585.47,2570.71,2578.96,484.24
1499274000000,2578.96,2598.0,2573.02,2598.0,443.96
1499277600000,2598.0,2612.0,2593.24,2603.45,827.54
1499281200000,2603.45,2624.0,2594.39,2623.79,458.48
1499284800000,2623.79,2623.99,2604.1,2608.6,456.35
1499288400000,2608.6,2615.15,2597.92,2615.15,430.78
1499292000000,2615.15,2630.24,2611.64,2611.64,392.55
1499295600000,2611.64,2620.0,2602.11,2616.96,378.66
1499299200000,2616.96,2623.54,2608.93,2615.85,348.66
1499302800000,2615.85,2615.85,2600.14,2603.01,393.2
1499306400000,2603.01,2610.0,2603.0,2610.0,234.42
1499310000000,2610.0,2617.0,2606.86,2616.99,245.43
